desired_scenario;cadidate_scenario;Desired Given DNF;Shared Given DNF;Penality Given;Global Similarity Given;Final Similarity Given;Desired When DNF;Shared When DNF;Penality When;Global Similarity When;Final Similarity When;Desired Then DNF;Shared Then DNF;Penality Then;Global Similarity Then;Final Similarity Then;Scenario Similarity;Action
Desired_30;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0 AND b2 > 10;height >= 30 AND source_distance == 0;0.31034482758620685;1.0;0.6896551724137931;0.8409961685823756;behavior_1
Desired_31;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0 AND c2 > 10;height >= 30 AND source_distance == 0;0.31034482758620685;1.0;0.6896551724137931;0.8409961685823756;behavior_1
Desired_32;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0 AND d2 > 10;height >= 30 AND source_distance == 0;0.31034482758620685;1.0;0.6896551724137931;0.8409961685823756;behavior_1
Desired_33;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0 AND e2 > 10;height >= 30 AND source_distance == 0;0.31034482758620685;1.0;0.6896551724137931;0.8409961685823756;behavior_1
Desired_34;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND a2 > 10 AND b2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_35;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND a2 > 10 AND c2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_36;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND a2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_37;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND a2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_38;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND b2 > 10 AND c2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_39;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND b2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_40;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND b2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_41;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND c2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_42;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND c2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_43;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND d2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_44;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND a2 > 10 AND b2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_45;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND a2 > 10 AND c2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_46;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND a2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_47;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND a2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_48;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND b2 > 10 AND c2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_49;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND b2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_50;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND b2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_51;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND c2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_52;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND c2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_53;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;source_distance == 0 AND d2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;0.6551724137931034;1.0;0.3448275862068966;0.7260536398467433;behavior_1
Desired_54;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;a2 > 10 AND b2 > 10 AND c2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_55;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;a2 > 10 AND b2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_56;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;a2 > 10 AND b2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_57;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;a2 > 10 AND c2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_58;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;a2 > 10 AND c2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_59;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;a2 > 10 AND d2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_60;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;b2 > 10 AND c2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_61;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;b2 > 10 AND c2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_62;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;b2 > 10 AND d2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_63;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;c2 > 10 AND d2 > 10 AND e2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;0.27777777777777785;behavior_1
Desired_64;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0 AND a2 > 10 AND b2 > 10;height >= 30 AND source_distance == 0;0.4736842105263158;1.0;0.5263157894736842;0.7865497076023392;behavior_1
Desired_65;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0 AND a2 > 10 AND c2 > 10;height >= 30 AND source_distance == 0;0.4736842105263158;1.0;0.5263157894736842;0.7865497076023392;behavior_1
Desired_66;cadidate_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0 AND a2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;0.4736842105263158;1.0;0.5263157894736842;0.7865497076023392;behavior_1
