similarity_result,diagnosed_name,diagnosed_given,diagnosed_then,candidate_name,candidate_given,candidate_then,elapsed_time,config
0.7344438888888889,diagnosed_baseline_add_p1_p2_p3,h < 100 AND vibration >= 63 AND p1 > 10 AND p2 > 10 AND p3 > 10,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.09857559995725751,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.6507936507936508,diagnosed_baseline_add_p1_p2_p3,h < 100 AND vibration >= 63 AND p1 > 10 AND p2 > 10 AND p3 > 10,delta_dt >= 10 AND h >= 100,cand_limited_satellite_flying,h > 10 AND vibration >= 30,delta_dt >= 10 AND h >= 100 AND satellite_count >= 7,0.06618089997209609,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.48412698412698413,diagnosed_baseline_add_p1_p2_p3,h < 100 AND vibration >= 63 AND p1 > 10 AND p2 > 10 AND p3 > 10,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.06809189997147769,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.9166661111111112,diagnosed_no_vib,h < 100,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.05717490008100867,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.8160472871572871,diagnosed_no_vib,h < 100,delta_dt >= 10 AND h >= 100,cand_limited_satellite_flying,h > 10 AND vibration >= 30,delta_dt >= 10 AND h >= 100 AND satellite_count >= 7,0.05463170004077256,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.686147287157287,diagnosed_no_vib,h < 100,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.07063840003684163,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7976184920634921,diagnosed_no_vib_add_p1,h < 100 AND p1 > 10,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.0627290999982506,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.6796836507936508,diagnosed_no_vib_add_p1,h < 100 AND p1 > 10,delta_dt >= 10 AND h >= 100,cand_limited_satellite_flying,h > 10 AND vibration >= 30,delta_dt >= 10 AND h >= 100 AND satellite_count >= 7,0.08872989995870739,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.5497836507936508,diagnosed_no_vib_add_p1,h < 100 AND p1 > 10,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.10059819999150932,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7499994444444443,diagnosed_no_vib_add_p1_p2,h < 100 AND p1 > 10 AND p2 > 10,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.06368120003025979,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
